MSEC,ICOUNT,"COUNT DELTA",COUNT/MSEC,"TOTAL AMP","AVG AMP",VOLT,JOULE
0.006,0,,,0,0,13.2,
18.784,0,0,0,0,0,8.9,0
38.877,3,3,0.1493057284,0,0,7.3,0
57.904,7,4,0.2102275713,200.2,50.05,7.6,28.94996104
79.109,12,5,0.2357934449,200.2,50.05,7.6,32.2638316
98.554,20,8,0.4114168167,200.2,50.05,7.7,29.9752453
119.334,30,10,0.4812319538,200.2,50.05,7.8,32.4492168
139.141,40,10,0.5048720149,265.5,66.375,7.9,41.54419215
159.066,53,13,0.652446675,265.5,66.375,8,42.3207
178.772,67,14,0.7104435197,265.5,66.375,8,41.855544
198.567,83,16,0.8082849204,259.5,64.875,8.1,41.60810025
222.429,103,20,0.8381527114,250,62.5,8.3,49.51365
238.479,119,16,0.9968847352,250,62.5,8.4,33.705
258.801,139,20,0.9841551028,225.4,56.35,8.6,39.39297768
278.925,162,23,1.142913934,225.4,56.35,8.6,39.00916656
299.03,185,23,1.143994031,225.4,56.35,8.8,39.8786696
323.844,216,31,1.249294753,225.4,56.35,8.8,49.21906528
338.612,235,19,1.286565547,209,52.25,8.9,27.4699568
359.58,263,28,1.33536818,209,52.25,9,39.440808
378.476,290,27,1.428873836,209,52.25,9,35.543376
398.706,319,29,1.433514582,193.8,48.45,9.1,35.6772234
419.112,351,32,1.568166226,193.8,48.45,9.2,36.38308176
438.382,381,30,1.556824079,193.8,48.45,9.2,34.3576392
459.138,416,35,1.686259395,179.4,44.85,9.2,34.25736288
478.934,450,34,1.717518691,179.4,44.85,9.2,32.67290208
497.899,483,33,1.740047456,179.4,44.85,9.4,31.9818174
518.314,519,36,1.763409258,169.6,42.4,9.5,32.892648
538.715,557,38,1.862653791,169.6,42.4,9.6,33.21609216
562.357,602,45,1.903392268,169.6,42.4,9.7,38.89392704
608.904,695,93,1.997980536,155.9,38.975,9.9,71.84110527
618.648,716,21,2.155172414,155.9,38.975,9.9,15.03898704
641.187,763,47,2.085274413,143.6,35.9,9.9,32.04234396
660.469,804,41,2.126335442,143.6,35.9,9.9,27.41206248
743.176,991,187,2.260993628,137.6,34.4,10,113.804832
763.264,1038,47,2.339705297,133.2,33.3,10.1,27.02478816
780.522,1079,41,2.375709816,127.6,31.9,10.1,22.24142008
798.745,1123,44,2.414531087,127.6,31.9,10.2,23.71759896
818.865,1173,50,2.485089463,127.6,31.9,10.2,26.1865824
838.914,1223,50,2.49388997,122.6,30.65,10.3,25.31747622
858.811,1272,49,2.462682817,122.6,30.65,10.4,25.36947088
878.578,1323,51,2.580057672,122.6,30.65,10.4,25.20371568
898.533,1375,52,2.605863192,122.6,30.65,10.4,25.4434232
918.236,1427,52,2.639192001,115.2,28.8,10.4,23.60577024
938.361,1480,53,2.633540373,115.2,28.8,10.4,24.11136
958.538,1534,54,2.676314616,109.7,27.425,10.4,23.01953576
979.047,1589,55,2.681749476,109.7,27.425,10.4,23.39830792
999.013,1644,55,2.754682961,109.7,27.425,10.4,22.77881008
1018.758,1700,56,2.836161053,109.7,27.425,10.4,22.5266756
1040.983,1762,62,2.789651294,107.8,26.95,10.6,25.396063
1058.611,1812,50,2.836396642,107.8,26.95,10.6,20.14316304
1078.695,1870,58,2.887870942,107.8,26.95,10.6,22.94958512
1098.42,1928,58,2.940430925,102.6,25.65,10.7,21.6544995
1118.381,1986,58,2.905666049,102.6,25.65,10.6,21.70878516
1143.128,2059,73,2.949852507,102.6,25.65,10.7,27.16775154
1159.435,2107,48,2.943521187,98.6,24.65,10.8,17.36499816
1179.097,2167,60,3.051571559,98.6,24.65,10.8,20.93767056
1199.379,2227,60,2.958288137,98.6,24.65,10.7,21.39791564
