MSEC,ICOUNT,"COUNT DELTA",COUNT/MSEC,"TOTAL AMP","AVG AMP",VOLT,JOULES
68.559,9,4,0.1968600817,144.8,24.13333333,10.4,30.59878848
89.032,15,6,0.29306892,144.8,24.13333333,10.4,30.83070016
108.495,22,7,0.3596567847,144.8,24.13333333,10.2,28.74607248
128.354,29,7,0.3524850194,150.8,25.13333333,10.7,32.04368804
148.377,37,8,0.3995405284,150.8,25.13333333,7,21.1362788
168.782,47,10,0.4900759618,150.8,25.13333333,10.6,32.6169844
189.169,56,9,0.4414577917,146.9,24.48333333,10.6,31.74541318
208.621,65,9,0.4626773597,146.9,24.48333333,6.8,19.43099184
228.783,78,13,0.6447773038,146.9,24.48333333,7.5,22.2134835
248.609,92,14,0.706143448,214.9,35.81666667,7.1,30.25031254
268.492,107,15,0.7544133179,244.9,40.81666667,7.2,35.05929624
288.388,124,17,0.8544431041,244.9,40.81666667,7.2,35.08221888
309.037,144,20,0.9685699065,244.9,40.81666667,7.6,38.43274476
328.856,165,21,1.059589283,261.3,43.55,7.5,38.84028525
348.657,188,23,1.161557497,261.3,43.55,7.7,39.83981001
369,212,24,1.179766996,261.3,43.55,7.8,41.46188202
388.561,236,24,1.226931138,240.2,40.03333333,7.8,36.64870716
408.479,263,27,1.355557787,240.2,40.03333333,8.2,39.23128952
430.023,293,30,1.392499072,240.2,40.03333333,8,41.3989504
448.773,320,27,1.44,219.9,36.65,8.2,33.809625
469.105,351,31,1.524690144,219.9,36.65,8.2,36.66225576
488.327,383,32,1.66475913,219.9,36.65,8.2,34.66072596
508.906,417,34,1.652169688,219.9,36.65,8.4,38.01270564
529.073,453,36,1.785094461,207.4,34.56666667,8.4,35.13414072
548.922,488,35,1.763313013,207.4,34.56666667,8.5,34.9918021
569.184,525,37,1.826078373,192.1,32.01666667,8.7,33.86327274
589.263,563,38,1.892524528,192.1,32.01666667,8.7,33.55743033
608.945,603,40,2.032313789,192.1,32.01666667,8.8,33.27202736
629.382,644,41,2.006165288,192.1,32.01666667,8.9,34.94093453
649.046,685,41,2.085028478,178.9,29.81666667,8.9,31.30921744
669.46,728,43,2.10639757,178.9,29.81666667,9.2,33.59899432
689.844,773,45,2.207613815,166.8,27.8,9.2,31.28047104
709.135,816,43,2.229018713,166.8,27.8,9.2,29.60319696
728.756,861,45,2.293461088,166.8,27.8,9.2,30.10960176
749.532,909,48,2.310358106,166.8,27.8,9.3,32.22856224
769.085,956,47,2.403723214,156.3,26.05,9.4,28.72765866
789.336,1005,49,2.419633598,156.3,26.05,9.4,29.75317422
809.002,1053,48,2.440760704,156.3,26.05,9.4,28.89368052
828.77,1101,48,2.428166734,156.3,26.05,9.4,29.04354096
849.299,1153,52,2.533002095,147.7,24.61666667,9.6,29.10847968
868.782,1204,51,2.617666684,147.7,24.61666667,9.8,28.20086318
889.044,1257,53,2.615733886,137.2,22.86666667,9.8,27.24347472
908.721,1309,52,2.64267927,137.2,22.86666667,9.7,26.18693868
928.447,1362,53,2.686809287,137.2,22.86666667,9.8,26.52279056
948.383,1417,55,2.75882825,137.2,22.86666667,9.9,27.07867008
968.745,1473,56,2.750221,129.5,21.58333333,9.9,26.1051021
988.398,1528,55,2.798554928,129.5,21.58333333,9.9,25.19612865
1008.612,1585,57,2.819827842,129.5,21.58333333,9.9,25.9153587
1028.387,1642,57,2.882427307,122.2,20.36666667,10.1,24.4067005
1048.918,1702,60,2.922410014,122.2,20.36666667,10.1,25.33977082
1068.877,1760,58,2.905957212,122.2,20.36666667,10.1,24.63379698
1088.747,1817,57,2.8686462,117.5,19.58333333,10.1,23.5807225
1111.238,1884,67,2.978969366,117.5,19.58333333,10.1,26.69119425
1128.924,1939,55,3.109804365,117.5,19.58333333,10.2,21.196671
1148.87,1999,60,3.008121929,111.7,18.61666667,10.2,22.72527564
1169.561,2062,63,3.044802088,111.7,18.61666667,10.3,23.80520241
1189.239,2122,60,3.049090355,111.7,18.61666667,10.3,22.63973578
1213.06,2198,76,3.190462197,108,18,10.2,26.2412136
1229.267,2248,50,3.085086691,106.7,17.78333333,10.2,17.63872638
1249.05,2309,61,3.083455492,106.7,17.78333333,10.4,21.95279944
1269.3,2373,64,3.160493827,105.3,17.55,10.4,22.17618
