MSEC,ICOUNT,"COUNT DELTA",COUNT/MSEC,"TOTAL AMP","AVG AMP",VOLT,JOULES
100.047,7,7,0.08367800703,17.3,2.883333333,12.1,17.51129182
119.631,12,5,0.2553104575,51.3,8.55,12.1,12.15637632
133.453,16,4,0.2893937202,51.3,8.55,11.2,7.94156832
154.489,23,7,0.3327628827,51.3,8.55,10.2,11.00729736
173.671,31,8,0.4170576582,51.3,8.55,9.2,9.05313672
194.107,41,10,0.4893325504,138.7,23.11666667,9.2,26.07715344
213.417,53,12,0.6214396686,156.8,26.13333333,7.5,22.70856
233.582,67,14,0.6942722539,156.8,26.13333333,7.4,23.3978528
253.647,83,16,0.7974084226,270.1,45.01666667,7.5,40.64667375
273.34,100,17,0.8632509013,270.1,45.01666667,7.6,40.42500268
293.523,119,19,0.9413863152,270.1,45.01666667,7.6,41.43085508
313.918,140,21,1.029664133,270.1,45.01666667,7.7,42.41690915
333.678,162,22,1.113360324,261.2,43.53333333,7.8,40.2582336
353.818,185,23,1.142005958,261.2,43.53333333,7.9,41.5584872
373.593,210,25,1.264222503,243.2,40.53333333,8.1,38.955168
395.057,238,28,1.304509877,243.2,40.53333333,8.1,42.28236288
413.618,263,25,1.346910188,243.2,40.53333333,8.1,36.56368512
433.432,291,28,1.413142223,243.2,40.53333333,8.2,39.51387136
453.704,322,31,1.529202841,228.3,38.05,8.2,37.95040032
473.552,354,32,1.612253124,228.3,38.05,8.5,38.5160364
493.978,387,33,1.615587976,214.9,35.81666667,8.5,37.3111529
513.732,420,33,1.670547737,212.4,35.4,8.5,35.6638716
533.72,455,35,1.75105063,212.4,35.4,8.6,36.51088032
556.912,497,42,1.8109693,212.4,35.4,8.7,42.85603296
573.626,529,32,1.914562642,195.5,32.58333333,8.8,28.7547656
593.499,567,38,1.912142102,195.5,32.58333333,8.8,34.1895092
613.68,607,40,1.982062336,195.5,32.58333333,8.9,35.11393095
633.286,648,41,2.091196572,195.5,32.58333333,8.9,34.1134597
654.921,692,44,2.033741622,186.9,31.15,9.1,36.79659165
673.696,731,39,2.07723036,186.9,31.15,9.2,32.283237
693.865,775,44,2.181565769,177.3,29.55,9.2,32.89886604
714.051,820,45,2.229267809,174.4,29.06666667,9.2,32.38803328
733.838,865,45,2.274220448,174.4,29.06666667,9.2,31.74784576
753.848,912,47,2.348825587,174.4,29.06666667,9.4,32.8035936
773.641,959,47,2.374576871,162.9,27.15,9.3,29.98580121
794.035,1009,50,2.451701481,162.9,27.15,9.3,30.89629818
813.702,1057,48,2.440636599,162.9,27.15,9.4,30.11529042
834.744,1110,53,2.51877198,158.8,26.46666667,9.4,31.40981424
853.791,1160,50,2.625085315,158.8,26.46666667,9.6,29.03677056
874.841,1214,54,2.565320665,158.8,26.46666667,9.6,32.090304
894.051,1265,51,2.654867257,150.7,25.11666667,9.6,27.7914912
913.602,1318,53,2.71085878,149.5,24.91666667,9.6,28.0595952
936.977,1381,63,2.695187166,149.5,24.91666667,9.7,33.89725625
953.419,1427,46,2.797713174,142,23.66666667,9.8,22.8806872
973.69,1483,56,2.762567214,142,23.66666667,9.8,28.2091236
993.713,1540,57,2.846726265,142,23.66666667,9.8,27.8640068
1013.762,1597,57,2.843034565,142,23.66666667,9.9,28.1848842
1035.405,1657,60,2.772258929,134.6,22.43333333,9.9,28.84016322
1114.068,1895,238,3.025564751,126.4,21.06666667,10.1,100.4243323
1134.006,1956,61,3.059484402,126.4,21.06666667,10.1,25.45364832
1153.835,2017,61,3.076302385,123.1,20.51666667,10.2,24.89768898
1173.788,2080,63,3.157419937,123.1,20.51666667,10.1,24.80776443
1194.052,2143,63,3.108961705,123.1,20.51666667,10.1,25.19443384
1213.65,2206,63,3.214613736,123.1,20.51666667,10.2,24.60764076
1233.746,2269,63,3.134952229,115,19.16666667,10.2,23.572608
1253.97,2335,66,3.263449367,115,19.16666667,10.3,23.955328
1273.921,2401,66,3.308104857,110.2,18.36666667,10.3,22.64558206
1294.211,2467,66,3.252833908,110.2,18.36666667,10.3,23.0303674
1313.425,2531,64,3.330904549,110.2,18.36666667,10.4,22.02078112
1333.479,2598,67,3.340979356,110.2,18.36666667,10.4,22.98348832
1353.986,2667,69,3.364704735,105.3,17.55,10.4,22.45762584
1374.951,2739,72,3.434295254,105.3,17.55,10.4,22.9591908
1394.417,2805,66,3.390527073,101.5,16.91666667,10.4,20.5483096
1413.805,2873,68,3.507324118,101.5,16.91666667,10.5,20.662761
1433.573,2942,69,3.49048968,101.5,16.91666667,10.6,21.2683912
1454.208,3011,69,3.343833293,101.5,16.91666667,10.6,22.2011965
1474.302,3082,71,3.533393053,95.6,15.93333333,10.4,19.97825856
1495.604,3159,77,3.614684067,95.6,15.93333333,10.6,21.58659472
1516.461,3232,73,3.500023973,95.6,15.93333333,10.6,21.13564952
1533.535,3293,61,3.572683613,93.8,15.63333333,10.6,16.97633672
1553.504,3365,72,3.605588662,93.8,15.63333333,10.6,19.85477732
1575.612,3444,79,3.573367107,93.8,15.63333333,10.6,21.98154224
1594.049,3512,68,3.688235613,91,15.16666667,10.6,17.7843302
1613.789,3585,73,3.698074975,90,15,10.6,18.83196
1633.971,3659,74,3.666633634,90,15,10.8,19.616904
1654.194,3733,74,3.659199921,89.3,14.88333333,10.7,19.32327873
1674.806,3811,78,3.784203377,87.2,14.53333333,10.8,19.41155712
1693.836,3881,70,3.678402522,87.2,14.53333333,10.8,17.9216928
1713.763,3957,76,3.813920811,87.2,14.53333333,10.7,18.59268808
1733.484,4032,75,3.803052584,85.6,14.26666667,10.8,18.23167008
1756.164,4117,85,3.747795414,85.6,14.26666667,10.8,20.9672064
1773.715,4184,67,3.817446299,85.6,14.26666667,10.9,16.37578504
1793.556,4259,75,3.780051409,83.9,13.98333333,10.9,18.14479291
1813.974,4339,80,3.91811147,81.7,13.61666667,10.8,18.01602648
1833.692,4416,77,3.905061365,81.7,13.61666667,10.9,17.55947054
1859.268,4513,97,3.792618079,79.8,13.3,10.9,22.24651632
1876.215,4580,67,3.953502095,79.8,13.3,11,14.8760766
1894.215,4650,70,3.888888889,79.8,13.3,11,15.8004
1914.843,4730,80,3.878223774,79.8,13.3,10.9,17.94264696
1933.486,4805,75,4.022957678,78.4,13.06666667,10.9,15.93156208
1954.348,4889,84,4.026459592,78.4,13.06666667,10.9,17.82783072
1973.714,4966,77,3.976040483,75.3,12.55,10.9,15.89503182
1993.671,5043,77,3.858295335,75.3,12.55,10.9,16.38010689
2013.43,5123,80,4.048787894,75.3,12.55,11,16.3663797
2033.565,5204,81,4.022845791,75.3,12.55,11,16.6778205
2055.507,5285,81,3.691550451,74.5,12.41666667,11.1,18.1449369
2134.098,5611,326,4.148057666,70.3,11.71666667,11.1,61.32691503
2153.514,5691,80,4.120313144,70.3,11.71666667,11.1,15.15088728
2174.247,5776,85,4.099744369,68.2,11.36666667,11.2,15.83669472
2194.905,5860,84,4.066221319,68.2,11.36666667,11.2,15.77940672
2213.747,5939,79,4.192760853,68.2,11.36666667,11.1,14.26377084
2233.982,6022,83,4.101803805,68.2,11.36666667,11.1,15.3182997
2254.535,6107,85,4.135649297,67,11.16666667,11.2,15.4229712
2274.319,6188,81,4.09421755,67,11.16666667,11.2,14.8459136
2297.18,6284,96,4.19929137,64.6,10.76666667,11.2,16.54039072
2313.692,6353,69,4.17877907,64.6,10.76666667,11.2,11.94676224
2333.916,6439,86,4.252373418,64.6,10.76666667,11.2,14.63246848
2357.975,6536,97,4.031755268,64.6,10.76666667,11.2,17.40716768
