4 CIM,,,,,,,,,6 CIM,,,,,,,,,4 CIM + 2 MINI,,,,,,,,,8 775PRO 80%,,,,,,,,,6 775PRO 80%,,,,,,,,,6 775PRO 100%,,,,,,,,,6 MINICIM,,,,,,,,,4 MINICIM,,,,,,,,,4 MINI + 2 CIM,,,,,,,,,2 MINI + 2 CIM,,,,,,,,,2 CIM,,,,,,,
MSEC,ICOUNT,COUNT DELTA,COUNT/MSEC,TOTAL AMP,AVG AMP,VOLT,JOULE,,MSEC,ICOUNT,COUNT DELTA,COUNT/MSEC,TOTAL AMP,AVG AMP,VOLT,JOULES,,MSEC,ICOUNT,COUNT DELTA,COUNT/MSEC,TOTAL AMP,AVG AMP,VOLT,JOULES,,MSEC,ICOUNT,COUNT DELTA,COUNT/MSEC,TOTAL AMP,AVG AMP,VOLT,JOULES,,MSEC,ICOUNT,COUNT DELTA,COUNT/MSEC,TOTAL AMP,AVG AMP,VOLT,JOULES,,MSEC,ICOUNT,COUNT DELTA,COUNT/MSEC,TOTAL AMP,AVG AMP,VOLT,,,MSEC,ICOUNT,COUNT DELTA,COUNT/MSEC,TOTAL AMP,AVG AMP,VOLT,JOULES,,MSEC,ICOUNT,COUNT DELTA,COUNT/MSEC,TOTAL AMP,AVG AMP,VOLT,JOULES,,MSEC,ICOUNT,COUNT DELTA,COUNT/MSEC,TOTAL AMP,AVG AMP,VOLT,JOULES,,MSEC,ICOUNT,COUNT DELTA,COUNT/MSEC,TOTAL AMP,AVG AMP,VOLT,JOULES,,MSEC,ICOUNT,COUNT DELTA,COUNT/MSEC,TOTAL AMP,AVG AMP,VOLT,JOULES
0.006,0,,,0,0,13.2,,,0.007,0,,,0,0,13,,,0.015,0,,,0,0,13.2,,,0.006,0,,,0,0,12.9,,,0.006,0,,,0,0,13,,,0.005,0,,,0,0,13.1,,,0.005,0,,,0,0,13.1,,,0.006,0,,,0,0,12.9,,,0.005,0,,,0,0,13.1,,,0.005,0,,,0,0,13,,,0.004,0,,,0,0,12.8,
18.784,0,0,0,0,0,8.9,0,,8.962,0,0,0,0,0,13,0,,21.545,0,0,0,0,0,7.6,0,,11.292,0,0,0,20.5,2.5625,12.9,2.9845827,,14.144,0,0,0,0,0,13,0,,16.965,0,0,0,0,0,12.8,0,,16.393,0,0,0,0,0,13.1,0,,13.302,0,0,0,0,0,12.9,0,,79.589,2,2,0.02513067953,2.2,0.3666666667,12.8,2.24108544,,13.364,0,0,0,0,0,13,0,,14.722,0,0,0,0,0,12.8,0
38.877,3,3,0.1493057284,0,0,7.3,0,,28.366,1,1,0.05153576582,0,0,7.2,0,,40.466,3,3,0.1585539876,0,0,7.6,0,,32.848,2,2,0.09278159213,20.5,2.5625,12.9,5.7004842,,33.975,1,1,0.05042610055,0,0,8.1,0,,37.411,0,0,0,0,0,12.8,0,,100.047,7,7,0.08367800703,17.3,2.883333333,12.1,17.51129182,,94.334,4,4,0.04936321453,13.9,3.475,12.3,13.85404104,,93.711,3,1,0.07081149979,2.2,0.3666666667,12.8,0.39767552,,33.287,0,0,0,0,0,13,0,,35.665,0,0,0,0,0,12.8,0
57.904,7,4,0.2102275713,200.2,50.05,7.6,28.94996104,,48.24,5,4,0.2012679883,0,0,10.7,0,,61.527,9,6,0.2848867575,167.4,27.9,7.2,25.38440208,,62.803,10,8,0.2670672676,57.3,7.1625,7.3,12.52987695,,55.958,5,4,0.1819587863,139.2,23.2,7.8,23.86826208,,59.859,1,1,0.04454739843,0,0,12.6,0,,119.631,12,5,0.2553104575,51.3,8.55,12.1,12.15637632,,117.567,7,3,0.1291266733,13.9,3.475,12.3,3.97214601,,112.97,5,2,0.1038475518,2.2,0.3666666667,12.5,0.5296225,,53.49,1,1,0.04949759937,31.2,7.8,9.8,6.17726928,,61.974,0,0,0,0,0,12.7,0
79.109,12,5,0.2357934449,200.2,50.05,7.6,32.2638316,,68.559,9,4,0.1968600817,144.8,24.13333333,10.4,30.59878848,,82.61,16,7,0.3320210596,167.4,27.9,7.3,25.76384766,,252.363,150,140,0.7385524372,286.6,35.825,8.2,445.4887472,,139.959,38,33,0.392852466,269.8,44.96666667,7.7,174.5087175,,138.726,21,20,0.2535914895,173.1,28.85,9.8,133.7884015,,133.453,16,4,0.2893937202,51.3,8.55,11.2,7.94156832,,131.921,10,3,0.2090009753,13.9,3.475,11.9,2.37429514,,132.925,8,3,0.1503382611,2.2,0.3666666667,10.6,0.4653506,,139.071,18,17,0.198642222,88.7,22.175,10.8,81.98317476,,245.51,34,34,0.1852497603,56.2,28.1,11.6,119.6507891
98.554,20,8,0.4114168167,200.2,50.05,7.7,29.9752453,,89.032,15,6,0.29306892,144.8,24.13333333,10.4,30.83070016,,100.987,23,7,0.3809109213,167.4,27.9,7.2,22.14943056,,273.617,174,24,1.12919921,286.6,35.825,8.6,52.38600904,,155.126,47,9,0.5933935518,269.8,44.96666667,7.8,31.91804148,,158.769,30,9,0.4490345757,173.1,28.85,9.8,34.00054434,,154.489,23,7,0.3327628827,51.3,8.55,10.2,11.00729736,,152.402,14,4,0.1953029637,32.2,8.05,10.4,6.85867728,,152.568,13,5,0.2545436033,60,10,9.4,11.078652,,154.049,23,5,0.3338229403,88.7,22.175,10.8,14.34832488,,263.724,40,6,0.329416932,53.6,26.8,10.9,10.64134736
119.334,30,10,0.4812319538,200.2,50.05,7.8,32.4492168,,108.495,22,7,0.3596567847,144.8,24.13333333,10.2,28.74607248,,120.594,34,11,0.561024124,300.7,50.11666667,7.5,44.21868675,,294.655,200,26,1.235858922,256.2,32.025,8.2,44.19747192,,174.485,60,13,0.6715222894,269.8,44.96666667,7.8,40.73985396,,177.034,40,10,0.5474952094,173.1,28.85,8.9,28.13887635,,173.671,31,8,0.4170576582,51.3,8.55,9.2,9.05313672,,171.939,20,6,0.3071095869,32.2,8.05,9.7,6.10218658,,172.981,20,7,0.3429187283,60,10,8.6,10.533108,,173.202,30,7,0.365477993,88.7,22.175,10.1,17.15859811,,281.298,46,6,0.3414134517,53.6,26.8,10.9,10.26743376
139.141,40,10,0.5048720149,265.5,66.375,7.9,41.54419215,,128.354,29,7,0.3524850194,150.8,25.13333333,10.7,32.04368804,,140.666,45,11,0.5480271024,300.7,50.11666667,7.5,45.267378,,318.519,232,32,1.340931948,256.2,32.025,8.6,52.58002848,,194.397,74,14,0.7030936119,250.3,41.71666667,7.9,39.37339144,,197.966,52,12,0.5732849226,242.8,40.46666667,7.2,36.59248512,,194.107,41,10,0.4893325504,138.7,23.11666667,9.2,26.07715344,,191.91,26,6,0.3004356317,32.2,8.05,9.7,6.23774214,,193.023,29,9,0.4490569803,60,10,8.6,10.341672,,194.064,40,10,0.4793404276,109.1,27.275,9.5,21.6224199,,299.224,53,7,0.3904942542,53.6,26.8,10.2,9.80050272
159.066,53,13,0.652446675,265.5,66.375,8,42.3207,,148.377,37,8,0.3995405284,150.8,25.13333333,7,21.1362788,,160.634,58,13,0.6510416667,300.7,50.11666667,7.6,45.63326976,,338.21,260,28,1.421969428,237,29.625,8.9,41.5342263,,214.174,91,17,0.8595843657,250.3,41.71666667,8.1,40.09648311,,217.911,67,15,0.7520681875,242.8,40.46666667,7,33.898522,,213.417,53,12,0.6214396686,156.8,26.13333333,7.5,22.70856,,212.036,35,9,0.4471827487,133.2,33.3,8.8,23.59089216,,213.105,39,10,0.4979583707,132,22,7.7,20.4113448,,213.843,51,11,0.5561454067,109.1,27.275,8.8,18.98942232,,318.115,62,9,0.4764173416,53.6,26.8,9.4,9.51804144
178.772,67,14,0.7104435197,265.5,66.375,8,41.855544,,168.782,47,10,0.4900759618,150.8,25.13333333,10.6,32.6169844,,181.741,73,15,0.7106647084,277.2,46.2,7.7,45.05162508,,360.397,293,33,1.487357462,237,29.625,8.9,46.7990391,,234.823,108,17,0.8232844206,241.6,40.26666667,8.2,40.90814688,,237.284,81,14,0.7226552418,242.8,40.46666667,7,32.9263508,,233.582,67,14,0.6942722539,156.8,26.13333333,7.4,23.3978528,,232.424,45,10,0.4904845988,133.2,33.3,8.7,23.62642992,,232.528,52,13,0.6693095814,213.1,35.51666667,7.7,31.87061801,,233.361,63,12,0.6148170919,109.1,27.275,8.8,18.73884144,,341.327,73,11,0.4738928141,117.4,58.7,9.6,26.16085248
